Unnamed: 0,Hobby,Country,Student,FormalEducation,UndergradMajor,DevType,YearsCoding,HoursComputer,Exercise,Gender,SexualOrientation,EducationParents,RaceEthnicity,Dependents,Continent,Age,ConvertedSalary,HDI,GDP,GINI
37079,Yes,Israel,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer,9-11 years,Over 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",White or of European descent,Yes,AS,25 - 34 years old,105324,High,Medium,High
37080,Yes,France,"Yes, part-time","Master’s degree (MA, MS, M.Eng., MBA, etc.)",Web development or web design,Back-end developer,3-5 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,"Other doctoral degree (Ph.D, Ed.D., etc.)",Black or of African descent,No,EU,25 - 34 years old,14688,High,Medium,Medium
37082,Yes,Brazil,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,6-8 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Hispanic or Latino/Latina,No,SA,25 - 34 years old,18720,Low,Low,High
37084,Yes,United Kingdom,No,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",Back-end developer,15-17 years,5 - 8 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,Yes,EU,35 - 44 years old,208356,High,Medium,Medium
37086,No,United States,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Desktop or enterprise applications developer,12-14 years,Over 12 hours,1 - 2 times per week,Male,Straight or heterosexual,Associate degree,White or of European descent,No,UNKNOWN,35 - 44 years old,101000,High,High,High
37088,Yes,India,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Embedded applications or devices developer,18-20 years,9 - 12 hours,I don't typically exercise,Male,Straight or heterosexual,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,Yes,AS,25 - 34 years old,40701,Medium,Low,High
37089,Yes,Germany,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,6-8 years,9 - 12 hours,1 - 2 times per week,Male,Straight or heterosexual,Associate degree,White or of European descent,No,EU,18 - 24 years old,36720,High,Medium,Medium
37091,Yes,Sweden,No,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,5 - 8 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,No,EU,18 - 24 years old,29940,High,Medium,Low
37094,Yes,France,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Data scientist or machine learning specialist,3-5 years,9 - 12 hours,3 - 4 times per week,Male,Bisexual or Queer,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",White or of European descent,No,EU,18 - 24 years old,42836,High,Medium,Medium
37095,No,United States,No,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,3-5 years,9 - 12 hours,3 - 4 times per week,Male,Straight or heterosexual,"Bachelor’s degree (BA, BS, B.Eng., etc.)",White or of European descent,Yes,UNKNOWN,45 - 54 years old,68000,High,High,High
