,Unnamed: 0,Country,Confirmed,Deaths,Recovered,Active,NewCases,NewDeaths,NewRecovered,DeathsPer100Cases,RecoveredPer100Cases,DeathsPer100Recovered,ConfirmedLastWeek,1WeekChange,WHORegion,HDIRank,HDI,LifeExpectancyAtBirth,AvgTemperature
19,19,Cuba,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(75.8, 113.2]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
20,20,Denmark,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
21,21,Dominican Republic,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(75.8, 113.2]","(0.739, 0.85]","(71.96, 78.38]","(58.415, 72.08]"
22,22,Egypt,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(75.8, 113.2]","(0.627, 0.739]","(65.54, 71.96]","(58.415, 72.08]"
23,23,Ethiopia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(58.415, 72.08]"
24,24,Finland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
25,25,France,"(-2394.327, 488513.4]","(17523.6, 35047.2]","(-1846.641, 369328.2]","(101639.2, 203258.4]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(12.152, 15.19]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
26,26,Gabon,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(75.8, 113.2]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
27,27,Gambia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(72.08, 85.744]"
28,28,Germany,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
29,29,Guatemala,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(113.2, 150.6]","(0.516, 0.627]","(65.54, 71.96]","(58.415, 72.08]"
30,30,Guinea,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(52.668, 59.12]","(72.08, 85.744]"
31,31,Guinea-Bissau,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(72.08, 85.744]"
32,32,Haiti,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(150.6, 188.0]","(0.516, 0.627]","(59.12, 65.54]","(72.08, 85.744]"
33,33,Honduras,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(113.2, 150.6]","(0.516, 0.627]","(65.54, 71.96]","(58.415, 72.08]"
34,34,Hungary,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(12.152, 15.19]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(31.086, 44.751]"
35,35,Iceland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
36,36,India,"(1465444.2, 1953909.6]","(17523.6, 35047.2]","(738656.4, 1107984.6]","(406496.8, 508116.0]","(35565.6, 44457.0]","(509.6, 637.0]","(26982.4, 33728.0]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(847482.4, 1271203.6]","(259778.6, 324735.0]",South-East Asia,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
37,37,Indonesia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",South-East Asia,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
38,38,Ireland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(6.076, 9.114]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
39,39,Italy,"(-2394.327, 488513.4]","(35047.2, 52570.8]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(12.152, 15.19]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
40,40,Japan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
41,41,Jordan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(75.8, 113.2]","(0.627, 0.739]","(71.96, 78.38]","(44.751, 58.415]"
42,42,Kazakhstan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(65.54, 71.96]","(31.086, 44.751]"
43,43,Kenya,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(59.12, 65.54]","(58.415, 72.08]"
44,44,Kuwait,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(38.4, 75.8]","(0.739, 0.85]","(78.38, 84.8]","(58.415, 72.08]"
45,45,Kyrgyzstan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(44.751, 58.415]"
46,46,Latvia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.85, 0.962]","(71.96, 78.38]","(31.086, 44.751]"
47,47,Lebanon,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(75.8, 113.2]","(0.627, 0.739]","(71.96, 78.38]","(58.415, 72.08]"
48,48,Madagascar,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(58.415, 72.08]"
49,49,Malaysia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
50,50,Mexico,"(-2394.327, 488513.4]","(35047.2, 52570.8]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(254.8, 382.2]","(6745.6, 13491.2]","(9.114, 12.152]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(75.8, 113.2]","(0.739, 0.85]","(65.54, 71.96]","(58.415, 72.08]"
51,51,Mongolia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(75.8, 113.2]","(0.739, 0.85]","(65.54, 71.96]","(17.353, 31.086]"
52,52,Morocco,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(113.2, 150.6]","(0.627, 0.739]","(71.96, 78.38]","(44.751, 58.415]"
53,53,Mozambique,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.403, 0.516]","(59.12, 65.54]","(72.08, 85.744]"
54,54,Namibia,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(-0.0983, 19.666]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(113.2, 150.6]","(0.516, 0.627]","(59.12, 65.54]","(72.08, 85.744]"
55,55,Nepal,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",South-East Asia,"(113.2, 150.6]","(0.516, 0.627]","(65.54, 71.96]","(44.751, 58.415]"
56,56,New Zealand,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(58.415, 72.08]"
57,57,Nicaragua,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(113.2, 150.6]","(0.627, 0.739]","(71.96, 78.38]","(72.08, 85.744]"
58,58,Nigeria,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Africa,"(150.6, 188.0]","(0.516, 0.627]","(52.668, 59.12]","(72.08, 85.744]"
59,59,Norway,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(31.086, 44.751]"
60,60,Pakistan,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(150.6, 188.0]","(0.516, 0.627]","(65.54, 71.96]","(58.415, 72.08]"
61,61,Panama,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Americas,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(72.08, 85.744]"
62,62,Philippines,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(19.666, 39.332]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Western Pacific,"(113.2, 150.6]","(0.627, 0.739]","(65.54, 71.96]","(72.08, 85.744]"
63,63,Poland,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(71.96, 78.38]","(31.086, 44.751]"
64,64,Portugal,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(58.998, 78.664]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(0.813, 38.4]","(0.85, 0.962]","(78.38, 84.8]","(44.751, 58.415]"
65,65,Qatar,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(-0.0152, 3.038]","(78.664, 98.33]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Eastern Mediterranean,"(38.4, 75.8]","(0.85, 0.962]","(78.38, 84.8]","(72.08, 85.744]"
66,66,Romania,"(-2394.327, 488513.4]","(-87.618, 17523.6]","(-1846.641, 369328.2]","(-488.096, 101639.2]","(-44.457, 8891.4]","(-0.637, 127.4]","(-33.728, 6745.6]","(3.038, 6.076]","(39.332, 58.998]","(-3.19, 638.052]","(-2078.606, 423761.2]","(-371.782, 64909.4]",Europe,"(38.4, 75.8]","(0.739, 0.85]","(71.96, 78.38]","(44.751, 58.415]"
